Run number,Date,Duration,Events,Current,Beam Energy,Target,Solenoid,Torus,Trigger,RCDB comment,Type,Adittional comment,Log DAQ,Log Monitoring plots,Log Online reconstruction,Log Strip charts,
20017,2024-03-19 2:11:11,1:53:01,"50,961,486",85 nA,"10,547.3",IN,C,-1.00,-1.00,rge_noDC_v1.0_200MeV,,good,Empty D2 / BMT Sec3 L4 trip,https://logbooks.jlab.org/entry/4268751,https://logbooks.jlab.org/entry/4268761,https://logbooks.jlab.org/entry/4268783,https://logbooks.jlab.org/entry/4268782
20018,2024-03-19 4:08:54,3:02:33,"80,495,647",85 nA,"10,547.3",IN,C,-1.00,-1.00,rge_noDC_v1.0_200MeV,,good,,https://logbooks.jlab.org/entry/4268784,https://logbooks.jlab.org/entry/4268795,https://logbooks.jlab.org/entry/4268825,https://logbooks.jlab.org/entry/4268824
20019,2024-03-19 7:17:19,1:12:37,"16,693,420",85 nA,"10,547.3",IN,C,-1.00,-1.00,rge_noDC_v1.0_200MeV,prod67,good,,https://logbooks.jlab.org/entry/4268881,https://logbooks.jlab.org/entry/4268882,,https://logbooks.jlab.org/entry/4268886
20041,2024-03-20 10:42:02,0:27:49,"10,616,833",30 nA,"10,547.3",IN,LD2 + Pb,-1.00,-1.00,rge_noDC_v1.0_200MeV,30 to 60 nA,good,"at 30 nA DC occ below 3.5% / at 40 nA, DC occ at 6-7%",https://logbooks.jlab.org/entry/4269655,https://logbooks.jlab.org/entry/4269660,,
20042,2024-03-20 11:14:28,0:44:51,"21,140,272",60 nA,"10,547.3",IN,LD2 + Pb,-1.00,-1.00,rge_noDC_v1.0_200MeV,,good,stopped run because DAQ problem (roc tdpcal2),https://logbooks.jlab.org/entry/4269672,https://logbooks.jlab.org/entry/4269677,,https://logbooks.jlab.org/entry/4269684
20044,2024-03-20 14:11:56,0:07:29,"5,258,769",60 nA,"10,547.3",IN,LD2 + Pb,-1.00,-1.00,rge_noDC_v1.0_200MeV,,good,stopped run to cahnge FTOF and CTOD HV voltages,https://logbooks.jlab.org/entry/4269748,,,
20045,2024-03-20 14:32:33,1:15:19,"39,242,533",60 nA,"10,547.3",IN,LD2 + Pb,-1.00,-1.00,rge_noDC_v1.0_200MeV,rge_noDC_v1.0_200MeV,good,last 15 min without beam,https://logbooks.jlab.org/entry/4269751,https://logbooks.jlab.org/entry/4269757,,https://logbooks.jlab.org/entry/4269785
20046,2024-03-20 15:55:39,2:17:55,"41,118,274",60 nA,"10,547.3",IN,LD2 + Pb,-1.00,-1.00,rge_inb_v1.0_200MeV,production,prod,,https://logbooks.jlab.org/entry/4269804,https://logbooks.jlab.org/entry/4269795,https://logbooks.jlab.org/entry/4269848,https://logbooks.jlab.org/entry/4269844
20047,2024-03-20 18:17:55,2:11:12,"40,168,291",65 nA,"10,547.3",IN,LD2 + Pb,-1.00,-1.00,rge_inb_v1.0_200MeV,production,prod,,https://logbooks.jlab.org/entry/4269847,https://logbooks.jlab.org/entry/4269850,,https://logbooks.jlab.org/entry/4269895
20048,2024-03-20 20:34:50,1:55:18,"40,382,090",70 nA,"10,547.3",IN,LD2 + Pb,-1.00,-1.00,rge_inb_v1.0_200MeV,production,prod,rebooted all the rocs after the run (including tdcband1),https://logbooks.jlab.org/entry/4269900,https://logbooks.jlab.org/entry/4269931,,https://logbooks.jlab.org/entry/4269938
